Area_Name,BHK,Amenities_Count,Balcony_Count,Market_Distance_KM,Building_Age,Floor_Number,Parking_Spaces,Bathrooms,Area,Ready_To_Move_In_Months,Price
3,5,16,3,2.4,12,27,3,5,3127,17,52828093
3,3,9,4,2.8,7,10,1,3,3372,17,65009269
3,1,14,4,2.7,15,6,1,1,3137,12,53787538
3,3,5,4,3.1,7,31,3,3,1618,9,32996833
3,3,9,4,0.8,6,22,3,3,2791,0,41307529
3,3,15,2,1.5,0,21,1,2,2907,19,50011702
3,5,6,4,0.3,17,18,2,5,1225,16,31936158
3,2,10,1,2.2,18,35,1,2,1515,24,31959910
3,4,13,3,2.1,15,30,1,4,2155,20,34323735
4,1,15,1,0.9,1,19,3,1,2435,13,37932301
4,2,15,2,1.4,20,23,1,2,3211,19,39656866
4,1,9,3,4.4,5,1,3,1,2257,4,25733923
4,3,16,4,1.5,6,6,1,3,3352,1,47895982
4,2,10,3,3.7,11,1,1,1,1365,18,23634257
4,1,6,4,1.9,10,20,2,1,1432,18,24996787
4,2,19,3,0.4,17,16,2,2,2626,11,31175991
4,2,9,1,0.3,9,7,3,1,3500,16,33745410
4,1,13,4,2,7,5,1,1,1243,23,24103783
4,3,4,3,3.9,19,26,3,3,1670,19,39744176
4,3,5,1,3.2,16,8,3,2,931,18,21141151
4,2,7,2,4.4,11,19,1,2,3184,5,42590700
4,2,7,2,0.8,0,32,1,1,3306,10,52430776
4,2,13,2,3.2,3,34,3,2,1018,8,26082422
4,2,5,1,3.2,6,22,2,2,1382,8,25687521
4,2,5,1,2.7,13,25,3,1,667,16,19075507
4,4,4,1,2.2,6,2,2,3,3295,6,46492632
4,1,15,3,4.6,0,19,2,1,1200,20,28450910
4,4,6,2,2.8,13,33,1,4,2298,16,39425619
4,4,7,4,1.7,16,34,2,3,1897,4,29686865
4,1,16,1,3.8,15,1,1,1,933,20,23870886
4,3,13,1,2.3,8,4,2,3,3272,17,35859109
4,3,14,2,2.2,13,20,1,2,3296,13,40906372
4,3,14,2,5,11,30,1,3,3175,1,53034817
4,3,9,2,4,1,30,2,3,1792,4,32892578
4,2,15,4,4.4,19,15,1,2,2617,12,51789698
4,4,8,4,1.3,15,14,2,4,1550,17,29697254
4,2,20,3,3.4,9,17,2,2,607,14,25225714
4,4,20,2,4.4,2,2,2,3,1439,12,26930264
4,5,16,1,1.9,7,14,2,5,1105,13,27503755
4,2,11,3,4.2,11,34,1,2,2712,14,39229900
4,2,6,2,4.5,8,17,2,1,2799,7,43143495
4,2,20,2,4.5,3,17,3,1,1074,20,21653154
4,2,18,4,2.2,12,9,2,2,2501,13,42861548
4,2,8,4,1.9,3,9,3,1,2022,6,32476964
4,2,9,2,3.4,20,13,2,2,2037,21,28660584
4,4,5,4,3.7,6,2,1,4,2657,18,33720403
4,2,12,3,2.5,17,35,2,1,1051,6,24716702
4,2,9,4,3.1,14,20,1,2,3136,15,39853984
4,2,11,2,1.7,9,33,2,2,1877,1,33782532
4,2,14,1,0.6,16,18,2,1,2034,11,27709787
5,2,14,4,0.4,1,18,2,2,1066,2,26247169
5,2,16,1,1.8,13,14,2,2,1751,9,30859771
5,1,20,4,0.5,18,16,2,1,2953,18,40745891
5,2,20,2,2.6,6,33,1,2,2514,18,37940544
5,2,9,2,0.4,5,13,1,2,3363,21,38188030
5,4,19,3,0.7,11,21,1,3,2786,10,46064403
5,5,18,1,2.2,6,16,1,5,758,20,22675359
5,4,13,4,4.9,4,22,3,4,1717,18,34133014
5,2,4,3,1.6,6,33,3,1,1291,5,22792860
5,3,4,1,0.6,18,13,3,2,1491,10,28459180
5,1,16,3,1.7,7,29,1,1,3297,23,41854254
5,3,14,2,2.7,19,22,3,3,2059,17,28051471
5,2,13,4,1.4,13,13,3,2,1018,2,20942184
5,3,16,3,0.8,7,32,3,3,2575,5,46659624
5,1,7,2,5,7,32,3,1,1063,24,26973074
5,2,15,4,0.6,16,27,2,2,2395,5,32950084
5,1,17,4,2.6,17,14,3,1,2432,12,33834210
5,5,17,4,4.1,19,14,3,4,2225,8,40239403
5,1,6,4,3,15,9,3,1,933,12,28721508
5,3,10,3,3.2,19,21,2,2,2815,6,39373566
5,1,19,4,0.9,2,1,3,1,2016,19,28371457
5,2,9,3,2.5,1,6,1,1,3151,24,53839658
5,3,15,1,3.8,9,19,1,3,1874,0,33184845
5,2,4,1,4.7,8,29,2,1,635,17,23401545
5,2,14,2,2.9,13,15,2,1,2203,14,44727751
5,2,6,4,1.3,3,7,3,2,2084,4,45943911
5,2,17,4,2.4,17,17,2,1,3462,12,41408510
5,2,9,3,0.3,20,33,1,2,803,22,21365452
5,2,7,2,5,18,21,3,1,897,20,23263597
5,3,11,4,4.3,7,6,3,3,1224,19,25731032
5,5,15,1,3.5,4,7,1,5,2382,13,39930811
5,2,18,4,1.6,6,16,2,2,2249,23,37568110
5,3,14,3,4.7,3,35,1,3,2346,14,30980821
6,3,9,1,2,16,18,2,3,1133,10,17881386
6,4,15,1,2.6,10,31,1,3,2460,1,37184626
6,4,14,3,4.9,11,24,3,4,1964,22,29872428
6,2,20,1,1.2,0,5,1,2,2589,17,41912178
6,3,9,2,4.5,11,27,2,3,2367,1,34646844
6,1,15,1,3.2,2,26,1,1,1829,3,28853858
6,5,4,2,3.6,1,7,1,5,1032,23,24249204
6,2,9,1,3,7,34,3,2,2203,5,40150473
6,2,12,4,1,14,18,2,2,597,0,26346472
6,2,8,1,4.4,4,19,3,2,3490,9,42211450
6,3,5,3,0.5,17,4,2,3,3153,11,39332536
6,2,18,3,4.5,5,2,1,1,1515,5,25066040
6,2,12,4,0.4,18,14,1,1,2742,2,40534019
6,2,13,1,4.7,9,20,2,1,2493,8,29835718
6,2,9,3,1.6,18,27,3,2,745,0,22827791
6,4,6,4,3.3,20,33,2,4,3375,20,32931727
6,1,13,1,2.4,7,35,2,1,1106,17,25689635
6,5,9,1,1.4,15,14,2,4,2504,8,29185672
6,1,13,4,0.7,8,21,2,1,2214,12,34459680
6,3,19,3,4.9,2,10,2,3,1233,5,30644670
6,5,20,4,4.1,10,34,3,4,1200,10,32281476
6,2,5,1,2.7,20,22,3,1,3334,21,48438668
6,1,16,2,4.1,0,1,3,1,3006,3,33058785
6,2,16,4,2.2,20,32,2,2,2065,10,36108713
6,1,20,1,3.3,9,31,3,1,1605,23,29153472
6,1,9,4,1.8,15,16,2,1,680,7,20610242
6,2,11,1,2,1,24,1,2,1428,3,25578806
6,5,18,2,3.1,17,33,3,5,2530,1,41534192
6,1,12,2,3.3,14,10,1,1,1468,10,29789849
6,2,8,2,4.2,14,17,2,1,2771,3,34143857
6,1,7,4,1.3,18,7,1,1,1068,21,22881184
6,2,19,4,5,6,1,3,2,3415,23,48226628
7,3,5,3,3,10,9,1,2,757,11,17572622
7,1,13,2,1,8,19,1,1,1943,6,33032176
7,4,6,1,2.1,20,23,1,3,894,19,13948020
7,2,6,3,4.9,0,20,1,1,2257,1,36186264
7,5,16,1,2.9,12,3,1,4,1186,2,28333224
7,2,6,4,0.6,6,23,3,1,2178,10,42788492
7,5,11,4,4.5,13,26,2,4,1134,4,24934061
7,3,19,2,3.1,2,14,1,2,2724,3,30710725
7,2,15,4,1.2,15,35,3,2,1994,23,28085336
7,5,19,3,3.5,10,22,3,4,1869,18,29995383
7,3,11,1,1,20,17,3,3,1903,7,40473041
7,3,16,1,4.3,12,8,2,2,1482,19,28127303
7,4,10,3,4.5,8,10,1,3,2200,20,32544464
7,1,5,2,3.6,4,3,3,1,1252,7,30587899
7,3,12,4,4.5,5,15,1,2,1295,11,28311401
7,2,10,1,2.6,15,15,3,1,1007,11,21436086
7,5,6,4,0.5,11,20,3,5,1764,13,30282821
7,5,18,1,4,5,26,1,5,1242,3,30775111
7,2,8,3,4.2,16,17,3,2,843,15,27246862
7,3,5,4,3.8,0,14,2,2,2744,4,45294257
7,4,16,3,2.3,12,9,1,3,1294,22,26927515
7,2,7,2,2.9,14,8,2,1,2850,11,37979259
7,1,14,1,1.1,3,21,1,1,2030,17,31875546
7,2,10,2,4.6,15,30,3,1,2288,13,30308588
7,4,5,2,3.5,6,28,3,4,1984,15,30892500
7,5,18,4,0.9,7,15,3,5,2722,20,37822849
7,2,12,1,4,19,8,2,2,1614,16,20013643
7,3,6,4,2.1,18,13,1,3,2776,11,29706458
7,3,11,4,2.7,4,20,2,3,1206,9,26745922
7,4,5,1,1.8,15,28,2,4,1505,22,21837875
7,3,12,1,3,19,10,2,2,1795,16,23968858
7,3,5,4,4.7,12,11,3,3,1610,17,26789759
7,4,4,2,2.8,12,5,1,4,3014,13,39971665
7,1,7,2,3.3,11,4,1,1,743,17,19316619
7,1,6,4,2.9,5,34,1,1,2735,9,31830345
7,1,10,3,2.1,1,6,1,1,784,0,25109349
7,3,16,3,2.5,19,24,3,2,1011,14,20356626
7,4,9,4,3.1,3,11,2,3,2308,13,35077402
7,2,16,4,5,11,13,3,2,1474,16,23033090
7,2,9,3,1,8,17,2,1,2591,2,43786992
7,1,20,2,2,13,33,3,1,2343,24,33383469
7,4,16,3,2.6,11,33,1,4,1551,21,27027426
7,3,8,4,1.5,3,21,1,2,3048,18,48385478
7,2,17,3,1.3,14,30,1,2,2421,9,45814617
7,2,16,2,4.3,12,32,3,1,2674,24,44299498
7,1,4,1,4.9,6,31,3,1,2858,16,37034342
7,1,19,1,3,18,24,3,1,2344,13,32957013
8,5,16,1,4,15,35,3,5,1813,2,28932771
8,3,9,2,3.8,17,34,3,2,2183,11,38743149
8,2,7,3,0.2,7,30,1,2,1909,20,36367966
8,3,20,1,0.8,8,6,3,2,2407,9,42266527
8,2,9,1,1.4,14,32,3,1,2578,2,52599719
8,2,10,4,1.3,18,20,3,1,3240,15,53999784
8,2,12,3,4.7,7,26,3,1,2461,6,35081411
8,3,9,4,1.9,1,15,3,3,2375,10,52667648
8,5,10,1,2.1,2,29,1,5,3185,14,53361335
8,2,19,1,0.3,2,14,2,2,2145,11,39036154
8,2,12,3,0.6,11,35,3,2,3447,0,39438241
8,4,8,4,0.3,19,34,3,3,1353,18,37141270
8,2,9,3,2,12,24,3,1,3199,12,41550648
8,3,4,2,0.4,9,34,2,2,2819,17,49139455
8,3,8,1,1.4,17,33,1,2,2143,3,43578623
8,5,14,1,2.8,14,27,2,5,2424,15,42132029
8,2,20,4,3.6,17,10,3,2,1959,12,34140343
8,1,4,2,2.7,15,12,1,1,3229,22,36832754
8,2,15,4,3,16,27,1,2,3136,16,53761042
8,1,10,2,1.1,17,2,1,1,2956,0,39371587
8,3,6,3,1.6,8,10,1,3,2944,1,56393327
8,2,20,1,1.1,3,18,3,1,3424,14,45723508
8,3,20,2,4.9,18,9,2,3,1553,11,34969796
8,4,19,2,4.7,15,12,1,4,2061,24,36896524
8,2,12,1,3.9,12,33,1,2,3266,1,34567336
8,4,18,2,1.6,15,12,1,4,3313,6,58390814
8,1,13,1,0.7,8,8,2,1,2025,10,37646553
8,5,20,4,0.3,3,26,2,5,715,19,31174073
8,3,14,3,3.1,11,34,2,3,879,0,26860900
8,3,14,1,4.5,11,21,1,3,2831,10,57023800
8,2,13,1,1.5,13,28,1,2,1713,18,39582150
8,3,12,2,4.5,17,29,1,2,2863,3,31533391
8,2,12,1,3.5,5,23,2,1,2462,15,46685262
8,3,18,3,0.7,2,12,2,3,2629,16,49978063
8,2,7,2,3.7,1,23,3,1,3319,18,40537500
8,3,16,1,0.7,9,31,1,2,2669,10,55148395
8,2,16,4,1.3,12,14,3,2,1187,19,28062339
9,4,10,1,4.7,7,31,1,4,2139,0,22474345
9,3,20,3,1.2,11,20,2,3,2617,5,32023518
9,2,6,2,0.7,14,33,1,1,3499,10,50020041
9,3,11,4,1.1,13,8,2,2,1535,2,27924872
9,2,9,3,0.5,7,11,3,1,981,15,20296163
9,5,7,1,1.9,7,30,1,4,553,2,18526660
9,2,13,4,1.2,20,27,1,1,1719,22,30774136
9,3,4,3,4.7,5,32,1,3,1280,16,26052768
9,4,19,4,2.2,4,18,2,4,1409,0,32324274
9,1,7,4,3.2,10,30,1,1,2557,19,39209508
9,3,4,4,1.2,7,5,1,2,1801,4,32011124
9,1,8,3,1.1,8,13,3,1,2944,13,21697903
9,5,14,3,3.4,4,12,3,4,3034,14,33464391
9,2,9,2,2.4,19,6,1,1,859,15,19849335
9,5,7,1,2.6,7,22,1,5,2302,21,28294845
9,3,9,1,4.2,13,11,1,3,1712,23,27057877
9,2,7,4,1.2,14,15,2,1,1929,5,27044131
9,4,10,4,4.1,7,26,1,3,2031,9,26003184
9,2,6,3,4.4,19,29,2,2,698,8,20088555
9,5,12,2,4.8,8,1,1,5,3364,9,42183575
9,3,5,3,2.3,3,18,2,3,840,13,18181872
9,5,19,1,0.8,1,27,1,5,1488,21,18968256
9,4,14,3,3.5,3,11,2,4,3183,24,55512648
9,5,7,3,1.8,4,26,3,5,899,9,21453554
9,2,17,3,3.9,10,24,3,1,2666,16,36858364
9,2,20,2,1.1,5,32,1,1,1446,17,23170490
9,2,12,4,1.4,7,14,3,1,1438,23,24335255
9,3,19,1,1.6,14,17,2,3,1377,16,18779460
9,4,10,1,3.7,1,8,1,3,3353,10,39796985
9,3,12,4,1.6,6,33,1,3,3284,13,38681365
9,3,4,1,4.5,1,5,1,3,1165,14,23188956
9,3,14,4,2.3,7,7,3,3,903,10,21132454
9,4,17,1,2.4,19,26,1,3,3387,24,47555827
9,4,13,1,3.5,13,34,1,4,2995,3,35222241
9,5,15,3,4.6,3,27,2,4,1413,20,26899482
9,3,7,3,4.4,3,6,1,2,3063,5,33260581
9,5,5,2,2.9,4,23,1,5,2061,9,28842686
9,2,12,2,4.4,19,5,1,2,1589,18,31995190
9,4,17,1,2.4,5,12,2,4,1409,11,16623340
9,3,11,3,2.8,2,20,1,3,1350,11,24413007
9,2,14,4,0.6,7,3,1,1,3077,23,48829739
9,1,12,3,4.2,18,20,2,1,2380,5,31187905
9,5,13,1,0.4,18,2,3,5,1169,0,28544833
9,1,13,1,0.8,9,14,2,1,2175,0,26634423
10,1,15,3,4.5,1,23,3,1,1890,14,41781032
10,2,13,4,4.2,19,3,1,1,2773,17,38099340
10,2,12,2,1.9,2,32,1,2,2648,14,41085813
10,2,4,4,0.7,3,13,1,1,1369,11,29962682
10,3,6,4,3.9,3,22,1,2,3059,5,50893967
10,2,18,1,0.7,14,8,1,2,2662,4,52262267
10,3,10,1,0.4,5,26,2,2,2937,7,47254607
10,3,9,4,0.5,17,1,2,3,2621,13,41422176
10,2,5,2,3.6,6,14,1,2,1251,18,36610831
10,2,18,1,2.4,11,35,2,2,684,6,34588334
10,5,16,1,1.7,11,35,1,5,2510,11,36903643
10,2,20,4,2.2,10,22,2,1,559,12,35134582
10,2,18,2,1.6,3,2,3,2,735,17,35756568
10,3,19,2,0.5,17,28,1,2,588,24,35556595
10,3,11,3,2.3,13,30,2,3,2254,8,32096140
10,4,8,3,2.5,3,7,2,3,2146,21,35222369
10,2,14,4,1,6,17,2,2,2774,16,51091390
10,5,9,2,2.1,2,10,1,5,2025,9,44297620
10,5,7,2,0.7,9,26,2,5,2866,12,47652268
10,5,8,4,2.2,0,6,2,4,2480,7,49834576
10,2,7,3,4.1,0,7,1,1,3297,12,47573141
10,3,5,4,2.9,8,25,3,2,1522,7,29702723
10,4,7,2,3.5,9,11,2,3,3124,8,48043706
10,1,14,1,3.4,15,7,1,1,1796,24,29079637
10,1,17,4,1.4,0,23,2,1,1959,18,33621971
10,2,20,2,4.8,14,12,3,2,2514,6,48376757
10,1,17,2,2.8,0,6,1,1,1662,24,43505896
11,2,10,3,0.9,7,35,2,2,2207,19,43053200
11,3,5,4,3.7,19,21,1,2,2237,21,30177447
11,2,5,4,4.1,6,31,2,1,2095,17,21124193
11,5,15,1,0.7,15,27,1,4,2073,10,40063053
11,3,9,3,2,2,28,1,3,600,18,23859040
11,3,9,1,4.9,4,10,2,3,2782,22,32739051
11,1,7,4,0.5,4,9,1,1,1396,13,26897872
11,2,20,3,1.2,2,13,1,2,639,11,18873172
11,2,18,3,4.6,11,20,3,2,838,0,17196124
11,3,16,3,2.5,16,23,3,3,2324,20,28513372
11,3,10,3,1.1,17,18,1,3,1502,19,22593432
11,2,18,1,3.9,1,21,2,2,3007,8,33651972
11,4,9,2,2.5,17,20,1,4,2684,17,28530831
11,2,14,3,0.4,1,32,1,2,2926,4,42422936
11,3,11,3,3.8,10,14,2,3,615,7,14218072
11,2,14,2,1.4,2,25,3,2,675,23,15365865
11,3,19,3,2.2,19,23,1,3,1123,14,28365134
11,3,8,2,3.4,19,21,3,2,724,1,16906629
11,2,18,3,1.3,9,20,1,2,2868,22,35799499
11,3,16,1,1.7,7,1,2,3,2022,14,20364257
11,1,12,3,3.9,6,24,2,1,2548,12,31524544
11,3,16,2,2.5,6,17,1,3,1259,24,25755186
11,4,14,1,3.7,4,26,2,3,1746,10,31582438
11,5,20,3,1.1,0,25,2,5,1134,13,31335530
11,2,20,2,4.9,16,13,2,2,2536,24,38595264
11,5,7,3,0.7,6,35,1,4,2553,24,36445256
11,5,4,4,2.9,11,23,2,5,2419,4,30820804
11,3,18,1,2.1,6,1,2,3,2790,0,48249211
11,2,12,2,3.2,1,8,3,1,2201,23,39593555
11,4,15,1,1.1,16,29,3,4,1650,21,29312676
11,2,7,4,4.5,2,11,2,2,2224,16,37582931
11,3,9,4,2.9,17,6,2,3,1265,22,25278604
11,3,4,1,0.5,17,22,1,2,2492,23,36023665
11,2,7,2,4,19,1,1,2,2153,23,25212668
11,1,20,3,2.2,7,30,3,1,1795,12,38555794
11,3,14,4,3.9,1,15,1,2,773,1,22463660
11,3,7,4,3.7,5,33,1,2,3041,6,44536344
11,1,7,2,4.4,18,4,1,1,2293,16,38360031
12,2,9,4,4.5,3,30,1,1,3481,22,34698756
12,2,19,4,2.6,19,1,2,2,2902,6,27828963
12,2,11,2,3,3,15,2,2,1684,23,23079558
12,2,15,1,2.5,12,10,3,1,3292,3,48678712
12,3,13,3,0.8,3,25,3,3,2465,21,42777908
12,5,18,4,3.5,17,22,2,5,1728,21,34614780
12,4,5,4,2.1,10,11,1,4,3482,9,54493027
12,1,13,1,0.6,15,4,2,1,3173,3,29018241
12,2,6,2,3.9,10,35,2,2,1900,3,24498774
12,2,10,3,3.4,17,19,1,2,910,4,23595981
12,2,19,2,4.2,11,30,3,2,1496,22,22170383
12,4,8,3,2.9,20,27,2,4,2168,15,35345697
12,5,20,2,3.2,18,8,3,5,2240,21,27469506
12,5,19,1,2.2,17,20,2,5,1144,24,24755314
12,5,20,2,2.6,10,12,3,5,2112,12,39260524
12,5,7,4,1.1,5,8,2,5,1440,24,28194887
12,5,12,2,4.2,1,28,1,5,1139,21,17235233
12,1,6,1,1.8,20,27,2,1,3258,20,39498563
12,5,16,3,3.5,9,9,2,5,2177,9,34988074
12,1,13,2,3.2,16,22,1,1,1788,3,30213800
12,3,8,3,4.5,6,4,2,3,3362,9,38864216
12,5,7,3,4.1,15,30,3,4,2618,9,40976090
12,3,5,4,1.2,14,10,2,3,3293,4,55467090
12,5,20,2,1.9,13,2,3,5,3121,19,47533591
12,4,15,1,1,9,22,3,3,887,8,18499721
12,3,19,2,2.2,19,24,3,2,1330,1,22606323
12,2,6,3,2.7,15,35,1,2,1511,24,30527865
12,1,9,4,1.9,12,1,1,1,3323,20,52908565
12,2,12,4,1.6,2,34,1,2,2140,1,39886262
12,2,5,1,3.3,19,5,3,2,1236,17,29213269
12,4,13,4,2.3,9,23,1,4,616,15,18988374
12,2,13,2,3.8,16,29,2,1,2510,23,32782341
12,3,20,2,0.4,17,23,3,3,1420,3,18570713
12,2,18,4,5,2,10,3,1,1864,16,24569943
12,3,19,3,2.2,0,9,2,3,1822,24,26976359
12,5,6,3,0.5,13,28,2,4,1938,24,34778686
12,2,20,3,2.6,16,34,1,1,2913,22,37581718
12,3,5,4,1.4,6,10,2,3,1832,7,31982469
12,2,6,3,1.6,4,5,1,1,2515,4,27703373
12,2,4,4,2.4,16,23,2,1,1484,24,32096879
13,4,17,2,4.1,11,35,3,4,1232,11,20935986
13,4,6,3,3.3,15,20,1,4,1257,14,26289484
13,3,19,1,4.4,1,17,1,3,643,22,23113308
13,3,6,1,1.3,14,28,1,3,1742,4,26388816
13,3,13,4,0.5,3,32,1,3,1740,17,29692718
13,3,12,4,0.5,13,7,3,3,1574,12,27974928
13,2,14,4,0.9,16,5,1,2,2444,3,36856964
13,1,6,4,0.5,9,23,2,1,1353,23,24319542
13,3,4,1,4.1,1,31,2,2,2265,13,37931931
13,2,19,3,2.6,9,35,3,1,663,14,18614551
13,3,7,2,4.3,3,10,2,3,1204,13,22914890
13,2,20,1,3.6,13,31,1,2,918,14,19414837
13,5,14,2,0.9,5,34,3,5,2788,13,49209023
13,2,16,2,3.4,16,26,3,2,3461,20,37037990
13,2,15,3,1.6,7,30,3,2,3313,0,42015019
13,2,16,3,1.4,15,32,3,2,1069,24,20671340
13,2,7,3,1,4,8,3,2,2777,4,41435111
13,3,4,2,1.2,4,32,3,3,3339,12,48200098
13,4,18,1,1.8,7,22,3,3,1971,17,22047772
13,5,7,4,1.2,9,19,2,5,648,21,14970812
13,1,13,4,3.7,3,18,2,1,780,2,21520268
13,3,19,1,0.9,5,28,3,2,2554,5,41710298
13,1,9,1,2,18,12,3,1,2951,9,34427430
13,2,6,4,4.2,16,7,1,1,3182,12,32549116
13,2,19,1,2.7,8,30,2,2,2482,3,27435553
13,2,10,3,1.3,6,8,3,1,1946,8,20835977
14,4,12,4,4.5,1,15,1,3,1722,14,30109971
14,3,12,1,4.2,4,33,1,3,3323,20,57130412
14,2,11,1,3.9,14,35,2,1,2256,5,35369653
14,1,11,3,1.7,19,1,2,1,1759,17,26189208
14,2,15,3,2.5,16,23,2,2,2623,13,38186756
14,2,18,4,1.2,8,23,2,2,990,9,28139190
14,4,18,4,3.6,10,3,3,4,1371,10,25542164
14,3,14,2,4.5,1,12,3,2,893,3,24622228
14,2,17,1,4.9,14,26,3,2,1018,18,17587483
14,2,15,4,2.6,5,23,2,1,809,2,21267537
14,2,4,3,4.4,11,20,1,2,939,4,26825494
14,2,14,2,3.3,20,11,2,2,570,2,19217712
14,4,11,1,3.3,7,29,1,4,824,11,24865158
14,4,13,4,3.3,18,17,2,4,1787,15,23419315
14,3,20,4,3.6,17,27,3,2,2976,13,39124856
